model,genre,human_inst_0,human_inst_1,human_inst_2,human_inst_3,human_inst_4,human_inst_5,human_inst_6,human_inst_7,human_inst_8,ia_inst_0,ia_inst_1,ia_inst_2,ia_inst_3,ia_inst_4,ia_inst_5,ia_inst_6,ia_inst_7,ia_inst_8
model1,jazz,757.0,952.0,836.0,34.0,128.0,70.0,77.0,19.0,284.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model1,bossa,736.0,884.0,823.0,20.0,83.0,51.0,80.0,14.0,315.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model1,samba,803.0,910.0,852.0,20.0,77.0,44.0,48.0,15.0,372.0,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model1,hiphop,754.0,880.0,825.0,19.0,71.0,62.0,70.0,14.0,266.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model1,afrocubano,756.0,959.0,750.0,22.0,114.0,35.0,82.0,15.0,283.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model1,choro,764.0,966.0,837.0,38.0,78.0,49.0,62.0,15.0,340.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model2,jazz,757.0,952.0,836.0,34.0,128.0,70.0,77.0,19.0,284.0,1031.0,1942.0,1132.0,16.0,47.0,22.0,77.0,34.0,597.0
model2,bossa,736.0,884.0,823.0,20.0,83.0,51.0,80.0,14.0,315.0,1060.0,1967.0,1093.0,23.0,77.0,20.0,95.0,31.0,556.0
model2,samba,803.0,910.0,852.0,20.0,77.0,44.0,48.0,15.0,372.0,1004.0,2112.0,1174.0,12.0,62.0,37.0,95.0,39.0,379.0
model2,hiphop,754.0,880.0,825.0,19.0,71.0,62.0,70.0,14.0,266.0,1035.0,2123.0,1248.0,30.0,34.0,30.0,101.0,32.0,389.0
model2,afrocubano,756.0,959.0,750.0,22.0,114.0,35.0,82.0,15.0,283.0,999.0,1999.0,1155.0,17.0,63.0,36.0,113.0,32.0,433.0
model2,choro,764.0,966.0,837.0,38.0,78.0,49.0,62.0,15.0,340.0,1073.0,1975.0,1181.0,25.0,64.0,31.0,87.0,51.0,528.0
model3,jazz,757.0,952.0,836.0,34.0,128.0,70.0,77.0,19.0,284.0,602.0,981.0,1851.0,1432.0,363.0,184.0,708.0,1100.0,892.0
model3,bossa,736.0,884.0,823.0,20.0,83.0,51.0,80.0,14.0,315.0,655.0,934.0,1739.0,1376.0,475.0,217.0,805.0,855.0,1201.0
model3,samba,803.0,910.0,852.0,20.0,77.0,44.0,48.0,15.0,372.0,544.0,957.0,1861.0,1344.0,367.0,142.0,776.0,1189.0,930.0
model3,hiphop,754.0,880.0,825.0,19.0,71.0,62.0,70.0,14.0,266.0,570.0,978.0,1797.0,1430.0,376.0,185.0,788.0,1065.0,975.0
model3,afrocubano,756.0,959.0,750.0,22.0,114.0,35.0,82.0,15.0,283.0,644.0,954.0,1768.0,1333.0,439.0,190.0,776.0,986.0,1186.0
model3,choro,764.0,966.0,837.0,38.0,78.0,49.0,62.0,15.0,340.0,557.0,977.0,1859.0,1400.0,366.0,174.0,764.0,1195.0,935.0
