model,genre,n_h,n_ia,density_h_median,density_ia_median,mw_density_U,mw_density_p,entropy_h_median,entropy_ia_median,mw_entropy_U,mw_entropy_p,chi2_inst,chi2_inst_dof,chi2_inst_p
model1,jazz,200,200,0.1111111119389534,0.02777777798473835,5107.0,4.670163694829138e-38,2.0848684310913086,0.8112781047821045,2016.0,1.1557163538913481e-54,1785.3279735100205,8,0.0
model1,bossa,200,200,0.0972222238779068,0.02777777798473835,5076.5,3.3132157957237514e-38,2.093139171600342,0.8112781047821045,2424.0,2.6115609447972954e-52,1720.2114292091412,8,0.0
model1,samba,200,200,0.1041666641831398,0.02777777798473835,4887.0,3.720962840587051e-39,2.166530132293701,0.7537451982498169,2805.0,3.6131404647299466e-50,1607.949671604551,8,0.0
model1,hiphop,200,200,0.0902777761220932,0.0347222238779068,5393.5,1.1308000985066046e-36,2.1001877784729004,0.8112781047821045,2114.0,4.2648320645009637e-54,1723.1354393023219,8,0.0
model1,afrocubano,200,200,0.0972222238779068,0.0347222238779068,4442.5,2.2892044102542647e-41,2.1175365447998047,0.8112781047821045,1531.0,1.4716595300740904e-57,1719.56216476351,8,0.0
model1,choro,200,200,0.1041666641831398,0.0347222238779068,4559.0,9.000645969283084e-41,2.1774213314056396,0.8112781047821045,2122.5,4.812437766575691e-54,1811.263737092755,8,0.0
model2,jazz,200,200,0.1111111119389534,0.1666666716337204,31525.0,1.8931186539421952e-23,2.0848684310913086,2.126614570617676,20319.5,0.7825930519116544,244.77440496285317,8,2.2062688943154784e-48
model2,bossa,200,200,0.0972222238779068,0.1666666716337204,33221.5,2.448135217920036e-30,2.093139171600342,2.1615962982177734,20833.5,0.4711743037025562,141.46734482137214,8,1.1749781968319834e-26
model2,samba,200,200,0.1041666641831398,0.1666666716337204,32284.0,2.0124999043642684e-26,2.166530132293701,2.0550365447998047,17807.0,0.057880985417877784,201.53948593066403,8,3.0275273273140246e-39
model2,hiphop,200,200,0.0902777761220932,0.1666666716337204,34288.5,3.737265945002655e-35,2.1001877784729004,2.093139171600342,19260.0,0.5223761116812178,187.77163633852894,8,2.3961037215011377e-36
model2,afrocubano,200,200,0.0972222238779068,0.1666666716337204,33417.0,3.4398265565557465e-31,2.1175365447998047,2.077819585800171,18506.0,0.19638507358835533,123.58224680495863,8,6.030223618808102e-23
model2,choro,200,200,0.1041666641831398,0.1736111044883728,32886.5,6.748445985745713e-29,2.1774213314056396,2.205440044403076,20228.0,0.8439924466665205,108.6211801508757,8,7.309957420943289e-20
model3,jazz,200,200,0.1111111119389534,0.2916666567325592,39796.5,9.056870646803779e-66,2.0848684310913086,2.952819585800171,35379.0,2.1990228418163402e-40,1964.6854633431878,8,0.0
model3,bossa,200,200,0.0972222238779068,0.2916666567325592,39893.5,2.1430862964739294e-66,2.093139171600342,3.077819585800171,36177.5,1.661923824052127e-44,1924.8579491258656,8,0.0
model3,samba,200,200,0.1041666641831398,0.2847222089767456,39846.0,4.311086288984958e-66,2.166530132293701,3.030639171600342,36090.5,4.829370353086766e-44,2217.5204853315895,8,0.0
model3,hiphop,200,200,0.0902777761220932,0.2847222089767456,39905.0,1.7899226430330464e-66,2.1001877784729004,3.077819585800171,36803.0,7.164521035036712e-48,2087.2303806508994,8,0.0
model3,afrocubano,200,200,0.0972222238779068,0.2916666567325592,39913.5,1.5722050198536203e-66,2.1175365447998047,3.030639171600342,36909.0,1.8560684404110733e-48,2036.8432291528547,8,0.0
model3,choro,200,200,0.1041666641831398,0.2916666567325592,39887.0,2.3635266141508722e-66,2.1774213314056396,3.024397373199463,36101.0,4.2331519587100016e-44,2154.4024784092026,8,0.0
